Id,Provenance,Exchange,Symbol_Pair,Type,Price,Volume,Timestamp
615362-BTCUSD,BITFINEX,BTCUSD,BTCUSD,Buy,434.6,0.02106094,1450056609
615361-BTCUSD,BITFINEX,BTCUSD,BTCUSD,Buy,434.39,0.09414643,1450056609
615360-BTCUSD,BITFINEX,BTCUSD,BTCUSD,Buy,434.0,2.67306964,1450056601
615359-BTCUSD,BITFINEX,BTCUSD,BTCUSD,Buy,434.0,1.58,1450056558
615358-BTCUSD,BITFINEX,BTCUSD,BTCUSD,Buy,434.0,1.63,1450056543
615357-BTCUSD,BITFINEX,BTCUSD,BTCUSD,Sell,433.99,0.55,1450056536
615356-BTCUSD,BITFINEX,BTCUSD,BTCUSD,Sell,433.96,0.1,1450056515
615355-BTCUSD,BITFINEX,BTCUSD,BTCUSD,Buy,434.0,4.0,1450056494
615354-BTCUSD,BITFINEX,BTCUSD,BTCUSD,Buy,434.0,11.8,1450056479
615353-BTCUSD,BITFINEX,BTCUSD,BTCUSD,Buy,434.0,1.08,1450056475
615352-BTCUSD,BITFINEX,BTCUSD,BTCUSD,Buy,434.0,0.13,1450056459
615351-BTCUSD,BITFINEX,BTCUSD,BTCUSD,Buy,434.0,5.0,1450056459
615350-BTCUSD,BITFINEX,BTCUSD,BTCUSD,Buy,434.0,1.17,1450056457
615349-BTCUSD,BITFINEX,BTCUSD,BTCUSD,Buy,434.0,11.61,1450056431
615348-BTCUSD,BITFINEX,BTCUSD,BTCUSD,Buy,433.93,13.39,1450056431
615347-BTCUSD,BITFINEX,BTCUSD,BTCUSD,Buy,433.93,1.35,1450056395
615346-BTCUSD,BITFINEX,BTCUSD,BTCUSD,Buy,433.93,0.26,1450056348
615345-BTCUSD,BITFINEX,BTCUSD,BTCUSD,Sell,433.91,1.57098756,1450056343
615344-BTCUSD,BITFINEX,BTCUSD,BTCUSD,Sell,433.92,0.048,1450056343
615343-BTCUSD,BITFINEX,BTCUSD,BTCUSD,Sell,433.92,0.5,1450056343
615342-BTCUSD,BITFINEX,BTCUSD,BTCUSD,Sell,433.85,0.17195694,1450056292
615341-BTCUSD,BITFINEX,BTCUSD,BTCUSD,Sell,433.9,1.0,1450056292
615340-BTCUSD,BITFINEX,BTCUSD,BTCUSD,Sell,433.84,0.01517099,1450056285
615339-BTCUSD,BITFINEX,BTCUSD,BTCUSD,Sell,433.84,0.47251095,1450056285
615338-BTCUSD,BITFINEX,BTCUSD,BTCUSD,Sell,433.85,0.22,1450056285
84126-LTCUSD,BITFINEX,LTCUSD,LTCUSD,Buy,3.5902,1.33999409,1450056356
84125-LTCUSD,BITFINEX,LTCUSD,LTCUSD,Buy,3.5903,2.51525311,1450056349
84124-LTCUSD,BITFINEX,LTCUSD,LTCUSD,Buy,3.5902,3.35839315,1450056344
84123-LTCUSD,BITFINEX,LTCUSD,LTCUSD,Sell,3.5567,1.608439,1450056200
84122-LTCUSD,BITFINEX,LTCUSD,LTCUSD,Sell,3.5635,0.25825867,1450056200
84121-LTCUSD,BITFINEX,LTCUSD,LTCUSD,Buy,3.5583,0.00604133,1450056184
84120-LTCUSD,BITFINEX,LTCUSD,LTCUSD,Sell,3.5567,2.0,1450056177
84119-LTCUSD,BITFINEX,LTCUSD,LTCUSD,Sell,3.5567,2.0,1450056175
84118-LTCUSD,BITFINEX,LTCUSD,LTCUSD,Sell,3.5567,2.0,1450056173
84117-LTCUSD,BITFINEX,LTCUSD,LTCUSD,Buy,3.5583,1.99395867,1450056114
84116-LTCUSD,BITFINEX,LTCUSD,LTCUSD,Buy,3.5583,2.0,1450056114
84115-LTCUSD,BITFINEX,LTCUSD,LTCUSD,Buy,3.5583,2.0,1450056114
84114-LTCUSD,BITFINEX,LTCUSD,LTCUSD,Buy,3.5583,2.0,1450056114
84113-LTCUSD,BITFINEX,LTCUSD,LTCUSD,Buy,3.5583,0.94604133,1450056114
84112-LTCUSD,BITFINEX,LTCUSD,LTCUSD,Sell,3.5583,1.05395867,1450056028
84111-LTCUSD,BITFINEX,LTCUSD,LTCUSD,Buy,3.5914,1.0,1450053925
84110-LTCUSD,BITFINEX,LTCUSD,LTCUSD,Sell,3.5523,4.99417665,1450053897
84109-LTCUSD,BITFINEX,LTCUSD,LTCUSD,Sell,3.5524,12.5,1450053897
84108-LTCUSD,BITFINEX,LTCUSD,LTCUSD,Buy,3.55,44.1,1450052982
84107-LTCUSD,BITFINEX,LTCUSD,LTCUSD,Buy,3.55,5.9,1450052918
84106-LTCUSD,BITFINEX,LTCUSD,LTCUSD,Buy,3.5499,40.6,1450052918
84105-LTCUSD,BITFINEX,LTCUSD,LTCUSD,Sell,3.5414,39.10764149,1450052758
84104-LTCUSD,BITFINEX,LTCUSD,LTCUSD,Sell,3.5458,5.0,1450052758
84103-LTCUSD,BITFINEX,LTCUSD,LTCUSD,Sell,3.5458,4.89235851,1450052758
84102-LTCUSD,BITFINEX,LTCUSD,LTCUSD,Sell,3.5458,2.65135949,1450052440
47780-LTCBTC,BITFINEX,LTCBTC,LTCBTC,Buy,0.00826,22.411,1450055441
47779-LTCBTC,BITFINEX,LTCBTC,LTCBTC,Buy,0.00826,37.359,1450055441
47778-LTCBTC,BITFINEX,LTCBTC,LTCBTC,Sell,0.008223,0.5,1450054798
47777-LTCBTC,BITFINEX,LTCBTC,LTCBTC,Sell,0.00827,11.0,1450052028
47776-LTCBTC,BITFINEX,LTCBTC,LTCBTC,Sell,0.008277,6.54,1450051761
47775-LTCBTC,BITFINEX,LTCBTC,LTCBTC,Sell,0.008277,6.54,1450051760
47774-LTCBTC,BITFINEX,LTCBTC,LTCBTC,Buy,0.008275,8.49,1450051759
47773-LTCBTC,BITFINEX,LTCBTC,LTCBTC,Sell,0.008273,2.5,1450051755
47772-LTCBTC,BITFINEX,LTCBTC,LTCBTC,Sell,0.008273,8.49,1450051744
47771-LTCBTC,BITFINEX,LTCBTC,LTCBTC,Buy,0.008271,8.49,1450051741
47770-LTCBTC,BITFINEX,LTCBTC,LTCBTC,Buy,0.008271,3.18,1450051741
47769-LTCBTC,BITFINEX,LTCBTC,LTCBTC,Sell,0.00827,12.72,1450051597
47768-LTCBTC,BITFINEX,LTCBTC,LTCBTC,Sell,0.00827,9.54,1450051597
47767-LTCBTC,BITFINEX,LTCBTC,LTCBTC,Sell,0.00827,6.36,1450051597
47766-LTCBTC,BITFINEX,LTCBTC,LTCBTC,Sell,0.00827,12.74,1450051580
47765-LTCBTC,BITFINEX,LTCBTC,LTCBTC,Sell,0.00827,9.55,1450051579
47764-LTCBTC,BITFINEX,LTCBTC,LTCBTC,Sell,0.00827,6.37,1450051579
47763-LTCBTC,BITFINEX,LTCBTC,LTCBTC,Sell,0.00827,3.18,1450051579
47762-LTCBTC,BITFINEX,LTCBTC,LTCBTC,Sell,0.008269,12.74,1450051556
47761-LTCBTC,BITFINEX,LTCBTC,LTCBTC,Sell,0.008269,5.03133242,1450051556
47760-LTCBTC,BITFINEX,LTCBTC,LTCBTC,Sell,0.008269,4.52866758,1450051556
47759-LTCBTC,BITFINEX,LTCBTC,LTCBTC,Sell,0.008269,6.37,1450051556
47758-LTCBTC,BITFINEX,LTCBTC,LTCBTC,Sell,0.008269,3.19,1450051556
47757-LTCBTC,BITFINEX,LTCBTC,LTCBTC,Buy,0.008269,2.70373277,1450051546
47756-LTCBTC,BITFINEX,LTCBTC,LTCBTC,Buy,0.008269,9.91626723,1450051546
65473819,BTC-E,btc_eur,btc_eur,bid,397.18,0.100154,1450056586
65473812,BTC-E,btc_eur,btc_eur,bid,397.18,0.100169,1450056586
65473590,BTC-E,btc_eur,btc_eur,bid,397.18,0.15,1450055695
65473589,BTC-E,btc_eur,btc_eur,bid,397.18,0.859478,1450055689
65473588,BTC-E,btc_eur,btc_eur,bid,397.18,0.617893,1450055688
65473587,BTC-E,btc_eur,btc_eur,ask,397.18,0.200401,1450055688
65473586,BTC-E,btc_eur,btc_eur,bid,401.6,0.01097,1450055674
65473526,BTC-E,btc_eur,btc_eur,bid,400.497,0.00373,1450055164
65473345,BTC-E,btc_eur,btc_eur,bid,400.497,0.01,1450054473
65472759,BTC-E,btc_eur,btc_eur,bid,397.481,0.022,1450053237
65472758,BTC-E,btc_eur,btc_eur,bid,397.29,0.0110855,1450053236
65472573,BTC-E,btc_eur,btc_eur,ask,397.174,3.5439E-4,1450052663
65472572,BTC-E,btc_eur,btc_eur,ask,397.284,0.011,1450052663
65472489,BTC-E,btc_eur,btc_eur,bid,397.29,0.0218105,1450052368
65472337,BTC-E,btc_eur,btc_eur,ask,397.481,0.022,1450051860
65471765,BTC-E,btc_eur,btc_eur,ask,397.481,0.1,1450051491
65471764,BTC-E,btc_eur,btc_eur,ask,397.481,0.078,1450051491
65471763,BTC-E,btc_eur,btc_eur,ask,397.481,0.011,1450051491
65471762,BTC-E,btc_eur,btc_eur,ask,397.481,0.011,1450051491
65471701,BTC-E,btc_eur,btc_eur,bid,399.49,0.017104,1450051272
65471137,BTC-E,btc_eur,btc_eur,bid,400.7,0.01097,1450050163
65470709,BTC-E,btc_eur,btc_eur,bid,402.11,0.0144554,1450048820
65470514,BTC-E,btc_eur,btc_eur,bid,400.49,0.0186044,1450048323
65470428,BTC-E,btc_eur,btc_eur,bid,400.49,0.0101456,1450047736
65470275,BTC-E,btc_eur,btc_eur,bid,398.033,0.201737,1450047208
65470248,BTC-E,btc_eur,btc_eur,bid,398.033,0.0111912,1450047069
65470221,BTC-E,btc_eur,btc_eur,bid,400.49,0.01,1450046942
65470194,BTC-E,btc_eur,btc_eur,bid,401.48,0.0113771,1450046713
65470180,BTC-E,btc_eur,btc_eur,bid,401.48,0.0120011,1450046669
65469958,BTC-E,btc_eur,btc_eur,bid,401.49,0.01125,1450045950
65469707,BTC-E,btc_eur,btc_eur,ask,398.271,0.0115029,1450045518
65469690,BTC-E,btc_eur,btc_eur,ask,398.27,0.0399966,1450045337
65469444,BTC-E,btc_eur,btc_eur,bid,401.49,0.0031658,1450044456
65469443,BTC-E,btc_eur,btc_eur,bid,401.49,0.0194411,1450044441
65469433,BTC-E,btc_eur,btc_eur,bid,401.49,0.0159498,1450044388
65469430,BTC-E,btc_eur,btc_eur,bid,401.49,0.0204489,1450044355
65469407,BTC-E,btc_eur,btc_eur,bid,401.49,0.020179,1450044271
65469392,BTC-E,btc_eur,btc_eur,bid,401.49,0.0208155,1450044186
65469065,BTC-E,btc_eur,btc_eur,ask,403.06,0.0467693,1450043269
65469064,BTC-E,btc_eur,btc_eur,bid,403.06,0.178231,1450043268
65468768,BTC-E,btc_eur,btc_eur,ask,397.713,0.012506,1450042639
65468767,BTC-E,btc_eur,btc_eur,ask,397.944,0.011,1450042639
65468766,BTC-E,btc_eur,btc_eur,ask,397.996,0.013664,1450042639
65468765,BTC-E,btc_eur,btc_eur,ask,398.299,0.011,1450042639
65468764,BTC-E,btc_eur,btc_eur,ask,398.62,0.011,1450042639
65468763,BTC-E,btc_eur,btc_eur,ask,398.811,0.011,1450042639
65468762,BTC-E,btc_eur,btc_eur,ask,399.0,0.01003,1450042639
65468761,BTC-E,btc_eur,btc_eur,ask,399.627,0.011,1450042639
65468562,BTC-E,btc_eur,btc_eur,ask,400.2,0.754383,1450042407
65468561,BTC-E,btc_eur,btc_eur,ask,400.49,0.023,1450042407
65468276,BTC-E,btc_eur,btc_eur,bid,400.49,0.1,1450041973
65467751,BTC-E,btc_eur,btc_eur,ask,400.2,1.0,1450041611
65467713,BTC-E,btc_eur,btc_eur,ask,400.2,1.0,1450041591
65467469,BTC-E,btc_eur,btc_eur,ask,400.2,1.5,1450041460
65467449,BTC-E,btc_eur,btc_eur,ask,401.224,0.179734,1450041431
65467099,BTC-E,btc_eur,btc_eur,ask,402.25,0.0743121,1450040564
65467060,BTC-E,btc_eur,btc_eur,bid,402.538,0.023074,1450040537
65467059,BTC-E,btc_eur,btc_eur,ask,402.892,5.2598E-4,1450040537
65466871,BTC-E,btc_eur,btc_eur,ask,402.892,0.011,1450040073
65466710,BTC-E,btc_eur,btc_eur,ask,403.5,1.0E-8,1450039725
65466625,BTC-E,btc_eur,btc_eur,ask,403.5,0.00999999,1450039576
65466624,BTC-E,btc_eur,btc_eur,ask,403.75,0.0060678,1450039576
65466457,BTC-E,btc_eur,btc_eur,ask,403.75,0.0139322,1450039574
65465940,BTC-E,btc_eur,btc_eur,bid,404.0,0.0211207,1450038775
65465406,BTC-E,btc_eur,btc_eur,bid,402.49,1.0E-8,1450037509
65465338,BTC-E,btc_eur,btc_eur,bid,402.0,0.0105,1450037104
65464701,BTC-E,btc_eur,btc_eur,bid,401.905,9.577E-5,1450036080
65464509,BTC-E,btc_eur,btc_eur,bid,401.905,0.0107807,1450035311
65464508,BTC-E,btc_eur,btc_eur,bid,401.0,1.0E-8,1450035311
65464338,BTC-E,btc_eur,btc_eur,bid,400.599,0.0116033,1450034929
65464319,BTC-E,btc_eur,btc_eur,bid,401.0,0.65761,1450034907
65464096,BTC-E,btc_eur,btc_eur,bid,402.0,0.011629,1450034138
65464079,BTC-E,btc_eur,btc_eur,bid,402.0,0.0167063,1450034099
65463969,BTC-E,btc_eur,btc_eur,bid,402.0,0.0165144,1450033583
65463637,BTC-E,btc_eur,btc_eur,bid,402.49,0.0328355,1450032794
65463499,BTC-E,btc_eur,btc_eur,bid,402.49,0.0137896,1450032490
65463250,BTC-E,btc_eur,btc_eur,bid,402.49,0.01,1450031599
65463240,BTC-E,btc_eur,btc_eur,bid,402.49,0.01,1450031504
65463216,BTC-E,btc_eur,btc_eur,bid,402.49,0.0116265,1450031424
65463200,BTC-E,btc_eur,btc_eur,bid,402.49,0.0117484,1450031391
65463188,BTC-E,btc_eur,btc_eur,bid,402.49,0.01,1450031350
65462713,BTC-E,btc_eur,btc_eur,bid,401.0,0.0104283,1450029801
65462634,BTC-E,btc_eur,btc_eur,bid,401.0,0.0530612,1450029497
65462338,BTC-E,btc_eur,btc_eur,bid,401.0,0.01,1450028734
65462310,BTC-E,btc_eur,btc_eur,bid,400.599,0.0117047,1450028640
65462268,BTC-E,btc_eur,btc_eur,bid,401.0,0.01,1450028507
65462242,BTC-E,btc_eur,btc_eur,bid,401.0,0.0129756,1450028411
65462213,BTC-E,btc_eur,btc_eur,bid,401.0,0.0136018,1450028375
65462194,BTC-E,btc_eur,btc_eur,bid,401.0,0.0588591,1450028328
65462192,BTC-E,btc_eur,btc_eur,bid,401.0,0.0121819,1450028324
65462166,BTC-E,btc_eur,btc_eur,bid,401.0,0.0143462,1450028228
65462139,BTC-E,btc_eur,btc_eur,ask,399.21,0.0939043,1450028169
65462138,BTC-E,btc_eur,btc_eur,ask,399.21,0.0120957,1450028169
65462121,BTC-E,btc_eur,btc_eur,bid,401.0,0.0132874,1450028139
65462107,BTC-E,btc_eur,btc_eur,bid,401.0,0.0159759,1450028066
65462101,BTC-E,btc_eur,btc_eur,bid,401.0,0.0133387,1450028046
65462075,BTC-E,btc_eur,btc_eur,bid,401.0,0.0482248,1450027960
65462067,BTC-E,btc_eur,btc_eur,bid,401.0,0.01,1450027946
65462044,BTC-E,btc_eur,btc_eur,bid,401.0,0.0434,1450027898
65462034,BTC-E,btc_eur,btc_eur,bid,401.0,0.01,1450027863
65462030,BTC-E,btc_eur,btc_eur,bid,401.0,0.0112438,1450027857
65461989,BTC-E,btc_eur,btc_eur,bid,401.0,0.010019,1450027813
65461983,BTC-E,btc_eur,btc_eur,bid,401.0,0.0422997,1450027812
65461956,BTC-E,btc_eur,btc_eur,bid,403.57,0.0180962,1450027804
65461948,BTC-E,btc_eur,btc_eur,bid,403.57,0.00744062,1450027803
65461947,BTC-E,btc_eur,btc_eur,bid,403.57,0.0488897,1450027803
65461571,BTC-E,btc_eur,btc_eur,bid,402.1,0.0495202,1450026753
65461297,BTC-E,btc_eur,btc_eur,bid,402.1,0.0210466,1450025965
65461271,BTC-E,btc_eur,btc_eur,bid,402.1,0.0190346,1450025884
65461253,BTC-E,btc_eur,btc_eur,bid,402.1,0.0139849,1450025809
65461202,BTC-E,btc_eur,btc_eur,bid,402.1,0.0219873,1450025717
65461190,BTC-E,btc_eur,btc_eur,bid,402.1,0.0143256,1450025633
65461174,BTC-E,btc_eur,btc_eur,bid,402.1,0.0205829,1450025550
65461130,BTC-E,btc_eur,btc_eur,bid,402.1,0.0175699,1450025468
65461125,BTC-E,btc_eur,btc_eur,bid,402.1,0.016179,1450025462
65461104,BTC-E,btc_eur,btc_eur,bid,402.1,0.0167628,1450025381
65460785,BTC-E,btc_eur,btc_eur,bid,401.98,0.01,1450024719
65460777,BTC-E,btc_eur,btc_eur,bid,401.98,0.0218533,1450024678
65460691,BTC-E,btc_eur,btc_eur,bid,401.98,0.0224136,1450024592
65460690,BTC-E,btc_eur,btc_eur,bid,401.98,0.0112077,1450024569
65460689,BTC-E,btc_eur,btc_eur,bid,401.98,0.01,1450024567
65460639,BTC-E,btc_eur,btc_eur,bid,401.98,0.0143383,1450024417
65460306,BTC-E,btc_eur,btc_eur,bid,397.996,0.1545,1450023426
65460263,BTC-E,btc_eur,btc_eur,bid,401.967,0.0186198,1450023370
65460106,BTC-E,btc_eur,btc_eur,bid,401.979,0.0146724,1450022824
65459995,BTC-E,btc_eur,btc_eur,bid,402.0,0.010002,1450022459
65459750,BTC-E,btc_eur,btc_eur,bid,398.142,2.6E-7,1450021813
65459526,BTC-E,btc_eur,btc_eur,ask,398.142,2.51166,1450021105
65459525,BTC-E,btc_eur,btc_eur,ask,399.0,0.101572,1450021105
65459524,BTC-E,btc_eur,btc_eur,ask,399.0,0.01003,1450021105
65459319,BTC-E,btc_eur,btc_eur,ask,399.01,0.1,1450021013
65459239,BTC-E,btc_eur,btc_eur,ask,399.95,0.1,1450021009
65459237,BTC-E,btc_eur,btc_eur,ask,399.96,4.008E-4,1450021006
65459236,BTC-E,btc_eur,btc_eur,ask,399.96,0.2,1450021006
65459226,BTC-E,btc_eur,btc_eur,ask,401.0,3.0E-5,1450020983
65459224,BTC-E,btc_eur,btc_eur,ask,401.0,0.09997,1450020983
65459223,BTC-E,btc_eur,btc_eur,ask,401.0,0.01003,1450020983
65458750,BTC-E,btc_eur,btc_eur,bid,403.226,0.0116283,1450020125
65458745,BTC-E,btc_eur,btc_eur,bid,401.281,0.0015815,1450020085
65458744,BTC-E,btc_eur,btc_eur,ask,401.992,0.010021,1450020084
65458732,BTC-E,btc_eur,btc_eur,bid,404.999,0.0552094,1450020080
65458731,BTC-E,btc_eur,btc_eur,bid,404.999,0.0577918,1450020080
65458730,BTC-E,btc_eur,btc_eur,bid,404.221,0.01,1450020080
65458729,BTC-E,btc_eur,btc_eur,bid,404.0,0.13656,1450020080
65458718,BTC-E,btc_eur,btc_eur,bid,404.0,0.0154399,1450020040
65458456,BTC-E,btc_eur,btc_eur,bid,403.0,0.0564298,1450019280
65458436,BTC-E,btc_eur,btc_eur,ask,403.0,0.0435702,1450019254
65458113,BTC-E,btc_eur,btc_eur,ask,403.0,0.03,1450018799
65457334,BTC-E,btc_eur,btc_eur,ask,403.0,0.100765,1450018253
65457296,BTC-E,btc_eur,btc_eur,ask,403.0,0.015819,1450018193
65473802,BTC-E,nvc_btc,nvc_btc,bid,0.00217,0.392283,1450056567
65473642,BTC-E,nvc_btc,nvc_btc,bid,0.00217,0.13563,1450056002
65473641,BTC-E,nvc_btc,nvc_btc,bid,0.00217,0.208908,1450056002
65473638,BTC-E,nvc_btc,nvc_btc,bid,0.00217,0.151345,1450056001
65473637,BTC-E,nvc_btc,nvc_btc,bid,0.00217,0.208908,1450056000
65473635,BTC-E,nvc_btc,nvc_btc,bid,0.00217,0.308505,1450056000
65473568,BTC-E,nvc_btc,nvc_btc,ask,0.00217,0.167207,1450055473
65472846,BTC-E,nvc_btc,nvc_btc,bid,0.0022,1.002,1450053755
65472839,BTC-E,nvc_btc,nvc_btc,bid,0.0022,1.7914,1450053718
65472838,BTC-E,nvc_btc,nvc_btc,bid,0.00219,0.1,1450053718
65472837,BTC-E,nvc_btc,nvc_btc,bid,0.00219,3.40493,1450053718
65472836,BTC-E,nvc_btc,nvc_btc,bid,0.00219,0.1,1450053718
65472835,BTC-E,nvc_btc,nvc_btc,bid,0.00219,4.62369,1450053718
65472732,BTC-E,nvc_btc,nvc_btc,ask,0.00216,7.44485,1450053191
65472731,BTC-E,nvc_btc,nvc_btc,ask,0.00217,2.91401,1450053191
65472502,BTC-E,nvc_btc,nvc_btc,bid,0.00217,2.15451,1450052421
65472500,BTC-E,nvc_btc,nvc_btc,bid,0.00217,9.18501,1450052421
65472497,BTC-E,nvc_btc,nvc_btc,bid,0.00217,4.58848,1450052420
65472492,BTC-E,nvc_btc,nvc_btc,ask,0.00217,20.0,1450052420
65472211,BTC-E,nvc_btc,nvc_btc,bid,0.00218,4.58146,1450051801
65472184,BTC-E,nvc_btc,nvc_btc,bid,0.00218,0.433693,1450051747
65471920,BTC-E,nvc_btc,nvc_btc,bid,0.00218,2.83E-6,1450051540
65471883,BTC-E,nvc_btc,nvc_btc,bid,0.00218,1.47492,1450051528
65471882,BTC-E,nvc_btc,nvc_btc,bid,0.00218,0.1,1450051528
65471880,BTC-E,nvc_btc,nvc_btc,bid,0.00218,44.4422,1450051528
65471831,BTC-E,nvc_btc,nvc_btc,bid,0.00218,3.03513,1450051509
65471828,BTC-E,nvc_btc,nvc_btc,bid,0.00218,1.54616,1450051509
65471208,BTC-E,nvc_btc,nvc_btc,bid,0.00217,9.9,1450050367
65471101,BTC-E,nvc_btc,nvc_btc,bid,0.00217,5.1055,1450050115
65470266,BTC-E,nvc_btc,nvc_btc,ask,0.00215,1.0,1450047184
65470001,BTC-E,nvc_btc,nvc_btc,ask,0.00215,6.46243,1450046073
65469999,BTC-E,nvc_btc,nvc_btc,bid,0.00215,0.1677,1450046063
65469997,BTC-E,nvc_btc,nvc_btc,ask,0.00215,9.9,1450046062
65469996,BTC-E,nvc_btc,nvc_btc,ask,0.00215,9.9,1450046062
65469995,BTC-E,nvc_btc,nvc_btc,ask,0.00215,0.1,1450046062
65469994,BTC-E,nvc_btc,nvc_btc,ask,0.00215,2.48718,1450046062
65469993,BTC-E,nvc_btc,nvc_btc,ask,0.00215,4.57767,1450046062
65469992,BTC-E,nvc_btc,nvc_btc,ask,0.00215,0.100237,1450046062
65469991,BTC-E,nvc_btc,nvc_btc,ask,0.00215,3.3,1450046062
65469990,BTC-E,nvc_btc,nvc_btc,ask,0.00215,0.375826,1450046062
65469989,BTC-E,nvc_btc,nvc_btc,ask,0.00215,1.47788,1450046062
65469978,BTC-E,nvc_btc,nvc_btc,ask,0.00216,12.0441,1450046047
65469972,BTC-E,nvc_btc,nvc_btc,ask,0.00216,8.90883,1450046039
65469142,BTC-E,nvc_btc,nvc_btc,bid,0.00219,0.376308,1450043566
65469141,BTC-E,nvc_btc,nvc_btc,bid,0.00218,0.635716,1450043566
65468736,BTC-E,nvc_btc,nvc_btc,bid,0.00218,4.36428,1450042585
65468735,BTC-E,nvc_btc,nvc_btc,bid,0.00218,1.35817,1450042585
65467201,BTC-E,nvc_btc,nvc_btc,ask,0.00216,0.100237,1450040811
65465693,BTC-E,nvc_btc,nvc_btc,ask,0.00215,7.21422,1450038271
65465689,BTC-E,nvc_btc,nvc_btc,ask,0.00219,11.206,1450038269
65465688,BTC-E,nvc_btc,nvc_btc,ask,0.00219,18.3929,1450038269
65465687,BTC-E,nvc_btc,nvc_btc,bid,0.00219,0.1,1450038269
65465686,BTC-E,nvc_btc,nvc_btc,bid,0.00219,3.02634,1450038269
65465685,BTC-E,nvc_btc,nvc_btc,bid,0.00219,5.31E-6,1450038269
65465645,BTC-E,nvc_btc,nvc_btc,bid,0.00218,9.9,1450038226
65465644,BTC-E,nvc_btc,nvc_btc,bid,0.00218,1.45521,1450038226
65465570,BTC-E,nvc_btc,nvc_btc,bid,0.00216,3.492,1450038059
65464751,BTC-E,nvc_btc,nvc_btc,ask,0.00215,11.3079,1450036181
65464750,BTC-E,nvc_btc,nvc_btc,ask,0.00215,1.67598,1450036181
65464700,BTC-E,nvc_btc,nvc_btc,ask,0.00216,7.70375,1450036079
65464192,BTC-E,nvc_btc,nvc_btc,bid,0.00216,7.81061,1450034389
65464191,BTC-E,nvc_btc,nvc_btc,ask,0.00216,15.5144,1450034388
65463849,BTC-E,nvc_btc,nvc_btc,bid,0.00216,15.5144,1450033321
65463697,BTC-E,nvc_btc,nvc_btc,bid,0.00216,0.708672,1450033010
65463589,BTC-E,nvc_btc,nvc_btc,bid,0.00216,2.87243,1450032711
65463283,BTC-E,nvc_btc,nvc_btc,bid,0.00216,0.904544,1450031742
65463281,BTC-E,nvc_btc,nvc_btc,bid,0.00216,1.70818,1450031742
65463133,BTC-E,nvc_btc,nvc_btc,bid,0.00216,3.14474,1450031151
65463078,BTC-E,nvc_btc,nvc_btc,bid,0.00216,3.09501,1450031033
65462906,BTC-E,nvc_btc,nvc_btc,ask,0.00216,2.71699,1450030192
65462520,BTC-E,nvc_btc,nvc_btc,bid,0.00217,1.29876,1450029283
65462429,BTC-E,nvc_btc,nvc_btc,bid,0.00217,1.932,1450028971
65462324,BTC-E,nvc_btc,nvc_btc,ask,0.00216,6.00409,1450028685
65462323,BTC-E,nvc_btc,nvc_btc,ask,0.00216,0.100237,1450028685
65461862,BTC-E,nvc_btc,nvc_btc,bid,0.00218,14.4897,1450027738
65461855,BTC-E,nvc_btc,nvc_btc,bid,0.00219,0.0999947,1450027721
65461854,BTC-E,nvc_btc,nvc_btc,bid,0.00219,16.9337,1450027721
65461853,BTC-E,nvc_btc,nvc_btc,bid,0.00219,63.9667,1450027721
65461852,BTC-E,nvc_btc,nvc_btc,bid,0.00219,0.1,1450027721
65461851,BTC-E,nvc_btc,nvc_btc,bid,0.00218,9.9,1450027721
65461841,BTC-E,nvc_btc,nvc_btc,ask,0.00216,0.99214,1450027705
65461829,BTC-E,nvc_btc,nvc_btc,ask,0.00216,4.51813,1450027676
65461700,BTC-E,nvc_btc,nvc_btc,bid,0.00218,2.48718,1450027241
65460803,BTC-E,nvc_btc,nvc_btc,ask,0.00216,2.06528,1450024761
65460802,BTC-E,nvc_btc,nvc_btc,ask,0.00216,0.100237,1450024761
65460801,BTC-E,nvc_btc,nvc_btc,ask,0.00216,1.32748,1450024761
65460638,BTC-E,nvc_btc,nvc_btc,ask,0.00216,1.70492,1450024415
65460376,BTC-E,nvc_btc,nvc_btc,ask,0.00216,5.3708,1450023774
65459536,BTC-E,nvc_btc,nvc_btc,bid,0.00218,4.57767,1450021131
65459313,BTC-E,nvc_btc,nvc_btc,bid,0.00218,16.7333,1450021012
65458691,BTC-E,nvc_btc,nvc_btc,ask,0.00216,1.5968,1450019873
65458575,BTC-E,nvc_btc,nvc_btc,ask,0.00217,0.699544,1450019684
65458574,BTC-E,nvc_btc,nvc_btc,bid,0.00218,1.6,1450019684
65457139,BTC-E,nvc_btc,nvc_btc,ask,0.00217,9.15263,1450017769
65455692,BTC-E,nvc_btc,nvc_btc,ask,0.00217,0.147824,1450017131
65455691,BTC-E,nvc_btc,nvc_btc,ask,0.00217,1.61E-6,1450017131
65455367,BTC-E,nvc_btc,nvc_btc,bid,0.00218,1.57247,1450015919
65455363,BTC-E,nvc_btc,nvc_btc,bid,0.00218,1.57247,1450015919
65454875,BTC-E,nvc_btc,nvc_btc,bid,0.00219,0.425203,1450014532
65454806,BTC-E,nvc_btc,nvc_btc,bid,0.00219,0.566937,1450014387
65454729,BTC-E,nvc_btc,nvc_btc,bid,0.00218,0.375826,1450014118
65454464,BTC-E,nvc_btc,nvc_btc,bid,0.00218,0.837991,1450013272
65454459,BTC-E,nvc_btc,nvc_btc,bid,0.00218,0.837992,1450013272
65454414,BTC-E,nvc_btc,nvc_btc,bid,0.00218,4.45299,1450013194
